X2.1...What.is.your.country.of.citizenship.,X2.4...How.old.are.you.,X2.6...What.is.your.current.marital.status.,X2.7...What.is.your.level.of.education....Selected.Choice,X2.8..Please.name.your.college.university,X2.9...When.did.you.begin.your.program....Year,X2.10...What.is.your.major.,X2.11...Do.you.work.a.part.time.job.during.your.study.in.Turkey.,X3.1...What.type.of.school.did.you.attend....Selected.Choice,X5.3...Was.Turkey.your.first.choice.to.study.abroad.,X5.6...Did.your.current.university..in.Turkey..grant.you.a.scholarship.,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.saw.it.as.an.opportunity.to.explore.other.cultures,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.wanted.to.internationalize.myself,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.found.Turkey.economically.affordable,X5.8...What.were.your.main.reasons.to.study.in.Turkey....My.family.was.keen.of.Turkey.s.Islamic.culture,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Difficulty.with.the.language,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Wary.to.live.in.another.country,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Concerned.to.leave.family,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Concerned.to.get.visa,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Not.enough.financial.means.to.study.abroad,X5.10...Would.you.like.to.live.abroad.after.your.studies.,X5.12...Do.you.intend.to.return.to.your.country.after.graduation.,X6.1...Did.you.need.financial.aid.to.study.abroad.,X6.3...Do.you.consider.your.study.abroad.as.an.adventure.in.a.new.country.,X8.1...How.many.times.did.you.return.to.your.country.during.your.last.academic.year.,X8.4...Regarding.your.social.life..which.statement.is.correct....I.mostly.socialize.with.Turkish.people,X8.4...Regarding.your.social.life..which.statement.is.correct....I.mainly.socialize.with.people.from.home.country,X8.4...Regarding.your.social.life..which.statement.is.correct....I.generally.socialize.with.other.foreign.students..Not.including.Turkish.or.home.country.,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Turkish.language,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Financial.barriers,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Getting.internships.jobs,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Quality.of.teaching,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Being.far.from.parents,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Health.services,X8.6...Are.you.satisfied.with.your.overall.experience.in.Turkey.,V37
Morocco,18,Never been married,Undergraduate,Middle East Technical University,2021,Aerospace Engineering,No,A fee paying school,No,Yes,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,More than two times,Sometimes,Always,Most of the time,"Always problematic	","Not problematic	","Always problematic	","Not problematic	","Always problematic	","Not problematic	",Somewhat satisfied,2.492429296
Iran,21,Never been married,Undergraduate,Middle East Technical University,2019,Statistics,No,A fee paying school,No,Yes,Not important,Moderately important,Moderately important,Not important,Very important,Not important,Not important,Not important,Not important,Yes,I do not intend to return,No,No,Never,Sometimes,Sometimes,Always,"Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied,3.076140294
Morocco,21,Never been married,Undergraduate,Middle East Technical University,2020,Biology,No,A fee paying school,Yes,No,Moderately important,Very important,Very important,Moderately important,Not important,Moderately important,Very important,Not important,Moderately important,Maybe,I would return after a period of work,No,Yes,Twice,About half the time,Always,Most of the time,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied,3.798632131
Morocco,19,Never been married,Undergraduate,Middle East Technical University,2022,Business Management And Administration,No,A fee paying school,,,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Not important,Not important,No,,,Yes,Once,Sometimes,Always,Most of the time,"Always problematic	","Not problematic	",,"Sometimes problematic	","Sometimes problematic	",,Neither satisfied nor dissatisfied,2.647416895
Afghanistan,20,Never been married,Undergraduate,Middle East Technical University,2022,Biology,Yes,An international school,No,Yes,Moderately important,Moderately important,Moderately important,Not important,Moderately important,Moderately important,Very important,Very important,Moderately important,Yes,Undecided,No,Yes,Never,Always,Most of the time,About half the time,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	",Somewhat satisfied,3.416833286
Libyan Arab Jamahiriya,22,Never been married,Undergraduate,Middle East Technical University,2018,Civil Engineering,No,An international school,No,No,,,Very important,,Not important,Not important,Not important,Not important,Not important,Yes,I would return after a period of work,Yes,No,Never,Sometimes,Most of the time,Always,"Always problematic	","Not problematic	","Always problematic	","Not problematic	","Not problematic	","Not problematic	",Somewhat satisfied,2.672105127
Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2019,Biology,No,A fee paying school,No,No,Not important,Not important,Very important,Moderately important,Not important,Moderately important,Very important,Moderately important,,Maybe,I intend to return ,Yes,Yes,More than two times,About half the time,Sometimes,Always,"Sometimes problematic	",,"Always problematic	","Sometimes problematic	",,"Sometimes problematic	",Somewhat satisfied,2.543796137
Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2021,Physics,No,A fee paying school,No,No,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Yes,Undecided,No,No,Once,Sometimes,Most of the time,About half the time,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied,3.630193935
Syrian Arab Republic,20,Never been married,Undergraduate,Middle East Technical University,2020,Biology,No,A public school,No,Yes,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,Not important,Not important,Yes,I intend to return ,No,No,More than two times,About half the time,About half the time,Most of the time,"Always problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied,3.31512594
Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Statistics,Yes,A grammar school,No,No,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Moderately important,Not important,Not important,Maybe,I intend to return ,No,Yes,Once,Sometimes,Always,Most of the time,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied,3.605482282
